countryname,indicatorname,year,value
India,GDP per capita (current US$),2005,729.000727040133
India,GDP per capita (current US$),2006,816.733776198888
India,GDP per capita (current US$),2007,1050.02480112251
India,GDP per capita (current US$),2008,1022.57759195327
India,GDP per capita (current US$),2009,1124.51944550849
India,GDP per capita (current US$),2010,1387.88008401297
Indonesia,GDP per capita (current US$),1990,630.66855677001
Indonesia,GDP per capita (current US$),1991,694.245756576301
Indonesia,GDP per capita (current US$),1992,740.917747910218
Indonesia,GDP per capita (current US$),1993,827.810348145865
Indonesia,GDP per capita (current US$),1994,912.097702939456
Indonesia,GDP per capita (current US$),1995,1026.27053440703
Indonesia,GDP per capita (current US$),1996,1137.26564794368
Indonesia,GDP per capita (current US$),1997,1063.56795617586
Indonesia,GDP per capita (current US$),1998,463.883002060677
Indonesia,GDP per capita (current US$),1999,671.005634084103
Indonesia,GDP per capita (current US$),2000,780.092078954339
Indonesia,GDP per capita (current US$),2001,748.184746113868
Indonesia,GDP per capita (current US$),2002,900.130803943843
Indonesia,GDP per capita (current US$),2003,1065.65654610135
Indonesia,GDP per capita (current US$),2004,1150.34929408933
Indonesia,GDP per capita (current US$),2005,1263.48144553621
Indonesia,GDP per capita (current US$),2006,1590.17790597325
Indonesia,GDP per capita (current US$),2007,1860.62262569343
Indonesia,GDP per capita (current US$),2008,2167.85765032782
Indonesia,GDP per capita (current US$),2009,2262.72078612573
Indonesia,GDP per capita (current US$),2010,3125.21993359966
Japan,GDP per capita (current US$),1990,25123.6317862131
Japan,GDP per capita (current US$),1991,28540.7714825993
Japan,GDP per capita (current US$),1992,31013.6471483654
Japan,GDP per capita (current US$),1993,35451.2975115738
Japan,GDP per capita (current US$),1994,38814.8943789814
Japan,GDP per capita (current US$),1995,42522.0665906054
Japan,GDP per capita (current US$),1996,37422.8641429074
Japan,GDP per capita (current US$),1997,34304.1489712264
Japan,GDP per capita (current US$),1998,30969.7380327708
Japan,GDP per capita (current US$),1999,35004.0612719044
Japan,GDP per capita (current US$),2000,37299.6441291293
Japan,GDP per capita (current US$),2001,32716.4186748897
Japan,GDP per capita (current US$),2002,31235.5881843913
Japan,GDP per capita (current US$),2003,33690.9377297154
Japan,GDP per capita (current US$),2004,36441.5044939422
Japan,GDP per capita (current US$),2005,35781.1700525965
Japan,GDP per capita (current US$),2006,34075.9789494111
Japan,GDP per capita (current US$),2007,34033.7012549361
Japan,GDP per capita (current US$),2008,37865.6180313874
Japan,GDP per capita (current US$),2009,39322.6047284114
Japan,GDP per capita (current US$),2010,42909.2341523544
Kiribati,GDP per capita (current US$),1990,392.397054127275
Kiribati,GDP per capita (current US$),1991,648.556547733989
Kiribati,GDP per capita (current US$),1992,665.003342745657
Kiribati,GDP per capita (current US$),1993,641.996871367677
Kiribati,GDP per capita (current US$),1994,732.976609728891
Kiribati,GDP per capita (current US$),1995,741.191612242514
Kiribati,GDP per capita (current US$),1996,860.081126804069
Kiribati,GDP per capita (current US$),1997,862.357422866277
Kiribati,GDP per capita (current US$),1998,822.715361738745
Kiribati,GDP per capita (current US$),1999,850.873567624752
Kiribati,GDP per capita (current US$),2000,799.856611192383
Kiribati,GDP per capita (current US$),2001,734.949246079786
Kiribati,GDP per capita (current US$),2002,827.302084463241
Kiribati,GDP per capita (current US$),2003,1014.1353334623
Kiribati,GDP per capita (current US$),2004,1128.9515140584
Kiribati,GDP per capita (current US$),2005,1149.68803299255
Kiribati,GDP per capita (current US$),2006,1110.46049310709
Kiribati,GDP per capita (current US$),2007,1277.14940530754
Kiribati,GDP per capita (current US$),2008,1371.8871524757
Kiribati,GDP per capita (current US$),2009,1264.09774148915
Kiribati,GDP per capita (current US$),2010,1465.50457444028
"Korea, Rep.",GDP per capita (current US$),1990,6642.45121752995
"Korea, Rep.",GDP per capita (current US$),1991,7675.69313756118
"Korea, Rep.",GDP per capita (current US$),1992,8140.21870567526
"Korea, Rep.",GDP per capita (current US$),1993,8869.0207606918
"Korea, Rep.",GDP per capita (current US$),1994,10275.2775348048
"Korea, Rep.",GDP per capita (current US$),1995,12403.913223896
"Korea, Rep.",GDP per capita (current US$),1996,13254.6374001395
"Korea, Rep.",GDP per capita (current US$),1997,12196.7697802359
"Korea, Rep.",GDP per capita (current US$),1998,8133.73124520026
"Korea, Rep.",GDP per capita (current US$),1999,10432.210803657
"Korea, Rep.",GDP per capita (current US$),2000,11947.5772472444
"Korea, Rep.",GDP per capita (current US$),2001,11255.9478894452
"Korea, Rep.",GDP per capita (current US$),2002,12788.5801805177
"Korea, Rep.",GDP per capita (current US$),2003,14219.1935856009
"Korea, Rep.",GDP per capita (current US$),2004,15921.9391974413
"Korea, Rep.",GDP per capita (current US$),2005,18657.5212532106
"Korea, Rep.",GDP per capita (current US$),2006,20917.0302377023
"Korea, Rep.",GDP per capita (current US$),2007,23101.5102258935
"Korea, Rep.",GDP per capita (current US$),2008,20474.8868492383
"Korea, Rep.",GDP per capita (current US$),2009,18338.7063660256
"Korea, Rep.",GDP per capita (current US$),2010,22151.2088921324
Lao PDR,GDP per capita (current US$),1990,203.764751009607
Lao PDR,GDP per capita (current US$),1991,235.177038456027
Lao PDR,GDP per capita (current US$),1992,250.792570754643
Lao PDR,GDP per capita (current US$),1993,287.28670488354
Lao PDR,GDP per capita (current US$),1994,325.470989929685
Lao PDR,GDP per capita (current US$),1995,363.033829731296
Lao PDR,GDP per capita (current US$),1996,377.276922212171
Lao PDR,GDP per capita (current US$),1997,344.669512997704
Lao PDR,GDP per capita (current US$),1998,247.852856109146
Lao PDR,GDP per capita (current US$),1999,276.707260960585
Lao PDR,GDP per capita (current US$),2000,324.019694710462
Lao PDR,GDP per capita (current US$),2001,326.0306988987
Lao PDR,GDP per capita (current US$),2002,319.53253580794
Lao PDR,GDP per capita (current US$),2003,362.667739612823
Lao PDR,GDP per capita (current US$),2004,418.173254328867
Lao PDR,GDP per capita (current US$),2005,476.162405720665
Lao PDR,GDP per capita (current US$),2006,591.36477247124
Lao PDR,GDP per capita (current US$),2007,710.98033776805
Lao PDR,GDP per capita (current US$),2008,900.499553549039
Lao PDR,GDP per capita (current US$),2009,947.955525742507
Lao PDR,GDP per capita (current US$),2010,1147.09538658271
"Macao SAR, China",GDP per capita (current US$),1990,8312.17567352937
"Macao SAR, China",GDP per capita (current US$),1991,9377.73957183186
"Macao SAR, China",GDP per capita (current US$),1992,12126.0506618093
"Macao SAR, China",GDP per capita (current US$),1993,13713.3058537843
"Macao SAR, China",GDP per capita (current US$),1994,14979.0412641778
"Macao SAR, China",GDP per capita (current US$),1995,16465.0263708925
"Macao SAR, China",GDP per capita (current US$),1996,16357.4003046856
"Macao SAR, China",GDP per capita (current US$),1997,16199.1352847205
"Macao SAR, China",GDP per capita (current US$),1998,14771.4950504561
"Macao SAR, China",GDP per capita (current US$),1999,13907.5045751927
"Macao SAR, China",GDP per capita (current US$),2000,14127.5666726526
"Macao SAR, China",GDP per capita (current US$),2001,14869.7784192751
"Macao SAR, China",GDP per capita (current US$),2002,15777.5835212807
"Macao SAR, China",GDP per capita (current US$),2003,17584.7896019372
"Macao SAR, China",GDP per capita (current US$),2004,22369.7280123631
"Macao SAR, China",GDP per capita (current US$),2005,25189.6679933942
"Macao SAR, China",GDP per capita (current US$),2006,30368.7865154565
"Macao SAR, China",GDP per capita (current US$),2007,36620.2346271422
"Macao SAR, China",GDP per capita (current US$),2008,40867.5557798491
"Macao SAR, China",GDP per capita (current US$),2009,40876.515267704
"Macao SAR, China",GDP per capita (current US$),2010,53045.9895133661
Malaysia,GDP per capita (current US$),1990,2417.43690204975
Malaysia,GDP per capita (current US$),1991,2626.57497540755
Malaysia,GDP per capita (current US$),1992,3080.86861538782
Malaysia,GDP per capita (current US$),1993,3395.52594692137
Malaysia,GDP per capita (current US$),1994,3685.93513836416
Malaysia,GDP per capita (current US$),1995,4280.01657189049
Malaysia,GDP per capita (current US$),1996,4743.68848697329
Malaysia,GDP per capita (current US$),1997,4585.69103496365
Malaysia,GDP per capita (current US$),1998,3227.80841807922
Malaysia,GDP per capita (current US$),1999,3456.50039543594
Malaysia,GDP per capita (current US$),2000,4004.55719127475
Malaysia,GDP per capita (current US$),2001,3878.7714093459
Malaysia,GDP per capita (current US$),2002,4132.66774072833
Malaysia,GDP per capita (current US$),2003,4431.2394550148
Malaysia,GDP per capita (current US$),2004,4924.58585200036
Malaysia,GDP per capita (current US$),2005,5564.17323050149
Malaysia,GDP per capita (current US$),2006,6194.67190541651
Malaysia,GDP per capita (current US$),2007,7240.68196667962
Malaysia,GDP per capita (current US$),2008,8486.59933273544
Malaysia,GDP per capita (current US$),2009,7312.00831363343
Malaysia,GDP per capita (current US$),2010,9069.04175699503
Maldives,GDP per capita (current US$),1990,986.646813007349
Maldives,GDP per capita (current US$),1991,1076.95283120232
Maldives,GDP per capita (current US$),1992,1217.32204513661
Maldives,GDP per capita (current US$),1993,1331.92827411474
Maldives,GDP per capita (current US$),1994,1452.58931873008
Maldives,GDP per capita (current US$),1995,1564.66256851084
Maldives,GDP per capita (current US$),1996,1719.01651890237
Maldives,GDP per capita (current US$),1997,1925.08940295049
Maldives,GDP per capita (current US$),1998,1992.97563697812
Maldives,GDP per capita (current US$),1999,2104.42769146741
Maldives,GDP per capita (current US$),2000,2182.99701148469
Maldives,GDP per capita (current US$),2001,3028.34304212553
Maldives,GDP per capita (current US$),2002,3066.88266595699
Maldives,GDP per capita (current US$),2003,3432.24783066406
Maldives,GDP per capita (current US$),2004,3853.33341155399
Maldives,GDP per capita (current US$),2005,3488.49377565832
Maldives,GDP per capita (current US$),2006,4428.52290144806
Maldives,GDP per capita (current US$),2007,5002.86229279974
Maldives,GDP per capita (current US$),2008,5850.2033171132
Maldives,GDP per capita (current US$),2009,6017.58385924865
Maldives,GDP per capita (current US$),2010,6330.7949828376
Marshall Islands,GDP per capita (current US$),1990,1659.11205073996
Marshall Islands,GDP per capita (current US$),1991,1701.84195870547
Marshall Islands,GDP per capita (current US$),1992,1844.05248876109
Marshall Islands,GDP per capita (current US$),1993,1987.15336050507
Marshall Islands,GDP per capita (current US$),1994,2136.76176918362
Marshall Islands,GDP per capita (current US$),1995,2356.52685221482
Marshall Islands,GDP per capita (current US$),1996,2156.89631690566
Marshall Islands,GDP per capita (current US$),1997,2056.00149594754
Marshall Islands,GDP per capita (current US$),1998,2093.56473156851
Marshall Islands,GDP per capita (current US$),1999,2073.48669519932
Marshall Islands,GDP per capita (current US$),2000,2126.83287154387
Marshall Islands,GDP per capita (current US$),2001,2206.6561156159
Marshall Islands,GDP per capita (current US$),2002,2391.34740333583
Marshall Islands,GDP per capita (current US$),2003,2434.76130579871
Marshall Islands,GDP per capita (current US$),2004,2517.69338901563
Marshall Islands,GDP per capita (current US$),2005,2645.98140535557
Marshall Islands,GDP per capita (current US$),2006,2758.38292551498
Marshall Islands,GDP per capita (current US$),2007,2878.46487719438
Marshall Islands,GDP per capita (current US$),2008,2925.90048273522
Marshall Islands,GDP per capita (current US$),2009,2907.63146795308
Marshall Islands,GDP per capita (current US$),2010,3124.34344775456
"Micronesia, Fed. Sts.",GDP per capita (current US$),1990,1528.0646936085
"Micronesia, Fed. Sts.",GDP per capita (current US$),1991,1682.18623481781
"Micronesia, Fed. Sts.",GDP per capita (current US$),1992,1756.20242180413
"Micronesia, Fed. Sts.",GDP per capita (current US$),1993,1908.84862945823
"Micronesia, Fed. Sts.",GDP per capita (current US$),1994,1909.35063220721
"Micronesia, Fed. Sts.",GDP per capita (current US$),1995,2065.00427684183
"Micronesia, Fed. Sts.",GDP per capita (current US$),1996,2019.95255764154
"Micronesia, Fed. Sts.",GDP per capita (current US$),1997,1906.80976167217
"Micronesia, Fed. Sts.",GDP per capita (current US$),1998,2029.32665656528
"Micronesia, Fed. Sts.",GDP per capita (current US$),1999,2046.79151825467
"Micronesia, Fed. Sts.",GDP per capita (current US$),2000,2170.9606255236
"Micronesia, Fed. Sts.",GDP per capita (current US$),2001,2239.91695437156
"Micronesia, Fed. Sts.",GDP per capita (current US$),2002,2257.77366497481
"Micronesia, Fed. Sts.",GDP per capita (current US$),2003,2293.57961354104
"Micronesia, Fed. Sts.",GDP per capita (current US$),2004,2247.83767300023
"Micronesia, Fed. Sts.",GDP per capita (current US$),2005,2352.63940940507
"Micronesia, Fed. Sts.",GDP per capita (current US$),2006,2393.93641180924
"Micronesia, Fed. Sts.",GDP per capita (current US$),2007,2435.19984773506
"Micronesia, Fed. Sts.",GDP per capita (current US$),2008,2501.52768205835
"Micronesia, Fed. Sts.",GDP per capita (current US$),2009,2669.37505410683
"Micronesia, Fed. Sts.",GDP per capita (current US$),2010,2838.44854708113
Mongolia,GDP per capita (current US$),1990,1172.4430658221
Mongolia,GDP per capita (current US$),1991,1072.63486794645
Mongolia,GDP per capita (current US$),1992,587.300352149611
Mongolia,GDP per capita (current US$),1993,339.519400734114
Mongolia,GDP per capita (current US$),1994,405.971988309893
Mongolia,GDP per capita (current US$),1995,631.915160959447
Mongolia,GDP per capita (current US$),1996,580.910075800383
Mongolia,GDP per capita (current US$),1997,505.603138700067
Mongolia,GDP per capita (current US$),1998,477.350130045148
Mongolia,GDP per capita (current US$),1999,445.006389869769
Mongolia,GDP per capita (current US$),2000,474.212956571061
Mongolia,GDP per capita (current US$),2001,524.024766007579
Mongolia,GDP per capita (current US$),2002,571.538390605566
Mongolia,GDP per capita (current US$),2003,646.119168113725
Mongolia,GDP per capita (current US$),2004,797.905152144555
Mongolia,GDP per capita (current US$),2005,998.822299377403
Mongolia,GDP per capita (current US$),2006,1334.40571157412
Mongolia,GDP per capita (current US$),2007,1633.38433505498
Mongolia,GDP per capita (current US$),2008,2138.37674048135
Mongolia,GDP per capita (current US$),2009,1717.07313677613
Mongolia,GDP per capita (current US$),2010,2650.34688488399
Nepal,GDP per capita (current US$),1990,193.555631286028
Nepal,GDP per capita (current US$),1991,203.84729667106
Nepal,GDP per capita (current US$),1992,172.077586494685
Nepal,GDP per capita (current US$),1993,180.185007855764
Nepal,GDP per capita (current US$),1994,194.961092649891
Nepal,GDP per capita (current US$),1995,205.746527211947
Nepal,GDP per capita (current US$),1996,206.440970778604
Nepal,GDP per capita (current US$),1997,219.631063525897
Nepal,GDP per capita (current US$),1998,212.374254647089
Nepal,GDP per capita (current US$),1999,215.896673454097
Nepal,GDP per capita (current US$),2000,231.432967570545
Nepal,GDP per capita (current US$),2001,248.832935902946
Nepal,GDP per capita (current US$),2002,246.803583536939
Nepal,GDP per capita (current US$),2003,254.553938234074
Nepal,GDP per capita (current US$),2004,288.669595432099
Nepal,GDP per capita (current US$),2005,318.748098345116
Nepal,GDP per capita (current US$),2006,350.608465014195
Nepal,GDP per capita (current US$),2007,396.169772792449
Nepal,GDP per capita (current US$),2008,476.556558235355
Nepal,GDP per capita (current US$),2009,483.403411454738
Nepal,GDP per capita (current US$),2010,595.427519830012
New Caledonia,GDP per capita (current US$),1990,14800.0286943521
New Caledonia,GDP per capita (current US$),1991,15133.1622384558
New Caledonia,GDP per capita (current US$),1992,16261.2969282208
New Caledonia,GDP per capita (current US$),1993,16640.8023536798
New Caledonia,GDP per capita (current US$),1994,16037.0252427091
New Caledonia,GDP per capita (current US$),1995,18721.0564384262
New Caledonia,GDP per capita (current US$),1996,18257.2150489301
New Caledonia,GDP per capita (current US$),1997,16341.5873485558
New Caledonia,GDP per capita (current US$),1998,15387.869583645
New Caledonia,GDP per capita (current US$),1999,14611.8328032133
New Caledonia,GDP per capita (current US$),2000,12579.5951055864
New Zealand,GDP per capita (current US$),1990,13663.03308699
New Zealand,GDP per capita (current US$),1991,12230.0882500412
New Zealand,GDP per capita (current US$),1992,11793.1614624339
New Zealand,GDP per capita (current US$),1993,13094.322241959
New Zealand,GDP per capita (current US$),1994,15280.2421339277
New Zealand,GDP per capita (current US$),1995,17400.3388746115
New Zealand,GDP per capita (current US$),1996,18794.5078516466
New Zealand,GDP per capita (current US$),1997,17474.1760599056
New Zealand,GDP per capita (current US$),1998,14738.4800207116
New Zealand,GDP per capita (current US$),1999,15322.245999552
New Zealand,GDP per capita (current US$),2000,13641.0560259004
New Zealand,GDP per capita (current US$),2001,13882.8949661011
New Zealand,GDP per capita (current US$),2002,16895.4540659785
New Zealand,GDP per capita (current US$),2003,21941.0582092097
New Zealand,GDP per capita (current US$),2004,25461.1340621386
New Zealand,GDP per capita (current US$),2005,27833.6031112777
New Zealand,GDP per capita (current US$),2006,26630.3641512637
New Zealand,GDP per capita (current US$),2007,32382.2691095373
New Zealand,GDP per capita (current US$),2008,30972.1195839865
New Zealand,GDP per capita (current US$),2009,27998.5664382058
New Zealand,GDP per capita (current US$),2010,33394.0729963486
Pakistan,GDP per capita (current US$),1990,371.817706966753
Pakistan,GDP per capita (current US$),1991,410.830276501257
Pakistan,GDP per capita (current US$),1992,428.065644116463
Pakistan,GDP per capita (current US$),1993,441.572133132445
Pakistan,GDP per capita (current US$),1994,434.030141213168
Pakistan,GDP per capita (current US$),1995,494.585208511459
Pakistan,GDP per capita (current US$),1996,503.749451985561
Pakistan,GDP per capita (current US$),1997,484.558694737687
Pakistan,GDP per capita (current US$),1998,471.102357076538
Pakistan,GDP per capita (current US$),1999,465.927242312637
Pakistan,GDP per capita (current US$),2000,534.915837003883
Pakistan,GDP per capita (current US$),2001,511.81112605906
Pakistan,GDP per capita (current US$),2002,501.185454468024
Pakistan,GDP per capita (current US$),2003,565.3238448029
Pakistan,GDP per capita (current US$),2004,652.020213018705
Pakistan,GDP per capita (current US$),2005,714.036810002771
Pakistan,GDP per capita (current US$),2006,876.95110885413
Pakistan,GDP per capita (current US$),2007,953.795685975298
Pakistan,GDP per capita (current US$),2008,1042.8017054166
Pakistan,GDP per capita (current US$),2009,1009.79931930279
Pakistan,GDP per capita (current US$),2010,1043.30020503812
Palau,GDP per capita (current US$),1990,5095.63258002518
Palau,GDP per capita (current US$),1991,5420.1409087971
Palau,GDP per capita (current US$),1992,5187.55505222096
Palau,GDP per capita (current US$),1993,4644.05016824717
Palau,GDP per capita (current US$),1994,4970.36596251116
Palau,GDP per capita (current US$),1995,5519.38568530861
Palau,GDP per capita (current US$),1996,6114.89121220684
Palau,GDP per capita (current US$),1997,6246.92379848811
Palau,GDP per capita (current US$),1998,6333.40531202764
Palau,GDP per capita (current US$),1999,6011.49486174383
Palau,GDP per capita (current US$),2000,7826.99104092323
Palau,GDP per capita (current US$),2001,8283.83023572238
Palau,GDP per capita (current US$),2002,8386.67728121088
Palau,GDP per capita (current US$),2003,8149.12098798635
Palau,GDP per capita (current US$),2004,8873.5966279744
Palau,GDP per capita (current US$),2005,9721.50058772819
Palau,GDP per capita (current US$),2006,9719.14145791525
Palau,GDP per capita (current US$),2007,9726.11239010339
Palau,GDP per capita (current US$),2008,9837.35050694616
Palau,GDP per capita (current US$),2009,9183.13537034015
Palau,GDP per capita (current US$),2010,9004.63721642892
Papua New Guinea,GDP per capita (current US$),1990,774.363991896877
Papua New Guinea,GDP per capita (current US$),1991,888.646603939261
Papua New Guinea,GDP per capita (current US$),1992,1001.96298948576
Papua New Guinea,GDP per capita (current US$),1993,1110.24507837969
Papua New Guinea,GDP per capita (current US$),1994,1197.23491345221
Papua New Guinea,GDP per capita (current US$),1995,983.075334679554
Papua New Guinea,GDP per capita (current US$),1996,1065.11449774612
Papua New Guinea,GDP per capita (current US$),1997,993.457403691116
Papua New Guinea,GDP per capita (current US$),1998,742.787291833812
Papua New Guinea,GDP per capita (current US$),1999,663.958583284178
Papua New Guinea,GDP per capita (current US$),2000,655.250230188858
Papua New Guinea,GDP per capita (current US$),2001,558.882982346168
Papua New Guinea,GDP per capita (current US$),2002,530.584058650011
Papua New Guinea,GDP per capita (current US$),2003,610.200291091905
Papua New Guinea,GDP per capita (current US$),2004,661.125039041039
Papua New Guinea,GDP per capita (current US$),2005,799.416405923424
Papua New Guinea,GDP per capita (current US$),2006,886.420266945581
Papua New Guinea,GDP per capita (current US$),2007,992.673749316293
Papua New Guinea,GDP per capita (current US$),2008,1223.20297800238
Papua New Guinea,GDP per capita (current US$),2009,1210.87172319867
Papua New Guinea,GDP per capita (current US$),2010,1418.92359069215
Philippines,GDP per capita (current US$),1990,715.310701474171
Philippines,GDP per capita (current US$),1991,715.125243422522
Philippines,GDP per capita (current US$),1992,814.032568388891
Philippines,GDP per capita (current US$),1993,815.664563403823
Philippines,GDP per capita (current US$),1994,939.102202297322
Philippines,GDP per capita (current US$),1995,1061.34789866757
Philippines,GDP per capita (current US$),1996,1159.73093439731
Philippines,GDP per capita (current US$),1997,1127.34561658457
Philippines,GDP per capita (current US$),1998,967.193590593342
Philippines,GDP per capita (current US$),1999,1087.95834435796
Philippines,GDP per capita (current US$),2000,1039.70179564153
Philippines,GDP per capita (current US$),2001,958.011579040635
Philippines,GDP per capita (current US$),2002,1000.77772844491
Philippines,GDP per capita (current US$),2003,1011.28664438982
Philippines,GDP per capita (current US$),2004,1080.08618402078
Philippines,GDP per capita (current US$),2005,1196.53984923829
Philippines,GDP per capita (current US$),2006,1395.2126330001
Philippines,GDP per capita (current US$),2007,1678.85198841212
Philippines,GDP per capita (current US$),2008,1929.1328970269
Philippines,GDP per capita (current US$),2009,1836.87412023077
Philippines,GDP per capita (current US$),2010,2145.24000707339
Samoa,GDP per capita (current US$),1990,772.211775997861
Samoa,GDP per capita (current US$),1991,765.495879409256
Samoa,GDP per capita (current US$),1992,799.085821913235
Samoa,GDP per capita (current US$),1993,796.161006161631
Samoa,GDP per capita (current US$),1994,1309.93154947019
Samoa,GDP per capita (current US$),1995,1321.51136815139
Samoa,GDP per capita (current US$),1996,1459.10092867051
Samoa,GDP per capita (current US$),1997,1657.90077237782
Samoa,GDP per capita (current US$),1998,1557.88577342027
Samoa,GDP per capita (current US$),1999,1489.62215598716
Samoa,GDP per capita (current US$),2000,1540.65372952602
Samoa,GDP per capita (current US$),2001,1555.4651908599
Samoa,GDP per capita (current US$),2002,1631.32464343263
Samoa,GDP per capita (current US$),2003,1907.04840456803
Samoa,GDP per capita (current US$),2004,2350.86287212903
Samoa,GDP per capita (current US$),2005,2587.52400015871
Samoa,GDP per capita (current US$),2006,2793.54311999082
Samoa,GDP per capita (current US$),2007,3130.35259752319
Samoa,GDP per capita (current US$),2008,3375.82163966041
Samoa,GDP per capita (current US$),2009,3173.54224035921
Samoa,GDP per capita (current US$),2010,3530.57399435316
Singapore,GDP per capita (current US$),1990,11864.6582882248
Singapore,GDP per capita (current US$),1991,14504.9417359794
Singapore,GDP per capita (current US$),1992,16143.998198073
Singapore,GDP per capita (current US$),1993,18302.2702121813
Singapore,GDP per capita (current US$),1994,21578.7634766978
Singapore,GDP per capita (current US$),1995,24936.8732805334
Singapore,GDP per capita (current US$),1996,26263.0448866015
Singapore,GDP per capita (current US$),1997,26386.7215887413
Singapore,GDP per capita (current US$),1998,21824.1078206533
Singapore,GDP per capita (current US$),1999,21795.8235894758
Singapore,GDP per capita (current US$),2000,23792.5302799516
Singapore,GDP per capita (current US$),2001,21577.1407995835
Singapore,GDP per capita (current US$),2002,22016.5691801331
Singapore,GDP per capita (current US$),2003,23573.7769924641
Singapore,GDP per capita (current US$),2004,27405.0345758398
Singapore,GDP per capita (current US$),2005,29869.5878981096
Singapore,GDP per capita (current US$),2006,33579.5924481463
Singapore,GDP per capita (current US$),2007,39223.5733268202
Singapore,GDP per capita (current US$),2008,39721.015350612
Singapore,GDP per capita (current US$),2009,38577.3493788831
Singapore,GDP per capita (current US$),2010,46569.9730490708
Solomon Islands,GDP per capita (current US$),1990,970.068933651301
Solomon Islands,GDP per capita (current US$),1991,998.725201750851
Solomon Islands,GDP per capita (current US$),1992,1147.86791843799
Solomon Islands,GDP per capita (current US$),1993,1210.41337355769
Solomon Islands,GDP per capita (current US$),1994,1330.72766932709
Solomon Islands,GDP per capita (current US$),1995,1445.66273066877
Solomon Islands,GDP per capita (current US$),1996,1529.79322798626
Solomon Islands,GDP per capita (current US$),1997,1495.07976067826
Solomon Islands,GDP per capita (current US$),1998,1206.63324205585
Solomon Islands,GDP per capita (current US$),1999,1201.57304366094
Solomon Islands,GDP per capita (current US$),2000,1055.21035640452
Solomon Islands,GDP per capita (current US$),2001,945.528926708539
Solomon Islands,GDP per capita (current US$),2002,785.625558493349
Solomon Islands,GDP per capita (current US$),2003,745.457187325512
Solomon Islands,GDP per capita (current US$),2004,819.301229686325
Solomon Islands,GDP per capita (current US$),2005,881.964778515343
Solomon Islands,GDP per capita (current US$),2006,950.057695088818
Solomon Islands,GDP per capita (current US$),2007,1048.77148597216
Solomon Islands,GDP per capita (current US$),2008,1208.34419558516
Solomon Islands,GDP per capita (current US$),2009,1161.22880991606
Solomon Islands,GDP per capita (current US$),2010,1276.34851310464
Sri Lanka,GDP per capita (current US$),1990,472.086463311204
Sri Lanka,GDP per capita (current US$),1991,521.246457495851
Sri Lanka,GDP per capita (current US$),1992,556.812328466994
Sri Lanka,GDP per capita (current US$),1993,585.893666313136
Sri Lanka,GDP per capita (current US$),1994,654.944061752967
Sri Lanka,GDP per capita (current US$),1995,718.443844341399
Sri Lanka,GDP per capita (current US$),1996,757.948209819414
Sri Lanka,GDP per capita (current US$),1997,812.792483613468
Sri Lanka,GDP per capita (current US$),1998,840.873767417395
Sri Lanka,GDP per capita (current US$),1999,821.596453392897
Sri Lanka,GDP per capita (current US$),2000,854.926725152164
Sri Lanka,GDP per capita (current US$),2001,837.698803493314
Sri Lanka,GDP per capita (current US$),2002,903.896404853248
Sri Lanka,GDP per capita (current US$),2003,984.810172493354
Sri Lanka,GDP per capita (current US$),2004,1063.16058355022
Sri Lanka,GDP per capita (current US$),2005,1242.42783834831
Sri Lanka,GDP per capita (current US$),2006,1424.10186950306
Sri Lanka,GDP per capita (current US$),2007,1614.36440994169
Sri Lanka,GDP per capita (current US$),2008,2010.95585842792
Sri Lanka,GDP per capita (current US$),2009,2057.02776877921
Sri Lanka,GDP per capita (current US$),2010,2746.61213467159
Thailand,GDP per capita (current US$),1990,1508.28790943258
Thailand,GDP per capita (current US$),1991,1716.61034821801
Thailand,GDP per capita (current US$),1992,1929.53310757195
Thailand,GDP per capita (current US$),1993,2213.16937914033
Thailand,GDP per capita (current US$),1994,2497.89828544633
Thailand,GDP per capita (current US$),1995,2856.24639161311
Thailand,GDP per capita (current US$),1996,3056.75264552453
Thailand,GDP per capita (current US$),1997,2480.47609083131
Thailand,GDP per capita (current US$),1998,1855.9003833517
Thailand,GDP per capita (current US$),1999,2043.90583224351
Thailand,GDP per capita (current US$),2000,2016.04101466738
Thailand,GDP per capita (current US$),2001,1896.97100344834
Thailand,GDP per capita (current US$),2002,2093.97920641937
Thailand,GDP per capita (current US$),2003,2349.38452566541
Thailand,GDP per capita (current US$),2004,2643.47893487535
Thailand,GDP per capita (current US$),2005,2874.38627417759
Thailand,GDP per capita (current US$),2006,3351.11763286401
Thailand,GDP per capita (current US$),2007,3962.7504988544
Thailand,GDP per capita (current US$),2008,4384.78267515745
Thailand,GDP per capita (current US$),2009,4231.14036778126
Thailand,GDP per capita (current US$),2010,5111.90920222917
Timor-Leste,GDP per capita (current US$),2000,434.379739962346
Timor-Leste,GDP per capita (current US$),2001,522.031580600752
Timor-Leste,GDP per capita (current US$),2002,496.17975117256
Timor-Leste,GDP per capita (current US$),2003,487.394976066002
Timor-Leste,GDP per capita (current US$),2004,484.088448984765
Timor-Leste,GDP per capita (current US$),2005,501.429226481591
Timor-Leste,GDP per capita (current US$),2006,464.835169248192
Timor-Leste,GDP per capita (current US$),2007,551.720598424389
Timor-Leste,GDP per capita (current US$),2008,673.374537904
Timor-Leste,GDP per capita (current US$),2009,780.261110851448
Timor-Leste,GDP per capita (current US$),2010,875.836569271265
Tonga,GDP per capita (current US$),1990,1193.49904970367
